tool.by;name;"cost for user";"cost 2 ";manufacturer;f8;f3;rating;f5;f7;f9;f10;enabled;url;title;description;keywords;anons
549;"Станок многофункциональный Калибр СЭДМ - 2300 Хит продаж!";697;732;5821;;yes;5;;;;;;sedm2300;"Станок многофункциональный Калибр СЭДМ - 2300";"Станок многофункциональный Калибр СЭДМ 2300";"Станок многофункциональный Калибр СЭДМ 2300";"Корпус отлит из чугуна... 4 ножа на валу, большой комплект, уровень проф. мастерской за небольшие деньги!!!
"
551;"Деревообрабатывающий станок Лифтмаш ИЭ 6009-А4.2";257;330;5828;;;2;;;;;;ie6009a4;;;;"Бюджетный станок для бытового использования. Пластиковые шкивы.
"
553;"Деревообрабатывающий станок Могилевлифтмаш ИЭ-6009А2.1";212;299;5828;;;1;;;"Могилевский станок ИЭ6009А2";;;IE6009A2.1;"Деревообрабатывающий станок Могилевлифтмаш ИЭ-6009А2.1";"Деревообрабатывающий станок Могилевлифтмаш ИЭ-6009А2.1";"Деревообрабатывающий станок Могилевлифтмаш ИЭ-6009А2.1";"Бюджетный станок для нечастого пользования.
"
556;"Станок рейсмусовый Энкор Корвет-221";2540;2585;5814;D-r4452;;;;;;;;k221;"Станок рейсмусовый Энкор Корвет-221";"Станок рейсмусовый Энкор Корвет-221";"Станок рейсмусовый Энкор Корвет-221";"
"
557;"Станок рейсмусовый Энкор Корвет-220";1575;1620;5814;;;;;;;;;k220;"Станок рейсмусовый Энкор Корвет-220";"Станок рейсмусовый Энкор Корвет-220";"Станок рейсмусовый Энкор Корвет-220";"
"
561;"Станок строгальный Энкор Корвет-106";830;884;5814;;;;;;;;;k106;"Станок строгальный Энкор Корвет-106";"Станок строгальный Энкор Корвет-106";"Станок строгальный Энкор Корвет-106";"
"
562;"Станок строгальный Энкор Корвет-104";850;905;5814;;;;;;;;;k104;"Станок строгальный Энкор Корвет-104 ";"Станок строгальный Энкор Корвет-104 ";"Станок строгальный Энкор Корвет-104 ";"
"
563;"Станок строгальный Энкор Корвет-101";414;450;5814;;;;;;;;;k101;"Станок строгальный Энкор Корвет-101";"Станок строгальный Энкор Корвет-101";"Станок строгальный Энкор Корвет-101";"
"
565;"Станок комбинированный строгальный Энкор Корвет-26";437;477;5814;ДС0023;;;;;;;;k26;"Станок комбинированный строгальный Энкор Корвет-26";"Станок комбинированный строгальный Энкор Корвет-26";"Станок комбинированный строгальный Энкор Корвет-26";"
"
566;"Станок комбинированный строгальный Энкор Корвет-24";364;400;5814;ДС0022;;;;;;;;k24;"Станок комбинированный строгальный Энкор Корвет-24";"Станок комбинированный строгальный Энкор Корвет-24";"Станок комбинированный строгальный Энкор Корвет-24";"
"
567;"Станок комбинированный строгальный Энкор Корвет-23";1450;1517;5814;ДС0021;;;;;;;;k23;"Станок комбинированный строгальный Энкор Корвет-23";"Станок комбинированный строгальный Энкор Корвет-23";"Станок комбинированный строгальный Энкор Корвет-23";"
"
569;"Станок рейсмусовый Энкор Корвет-21";450;485;5814;D-r0026;yes;;;;;;;k21;"Станок рейсмусовый Энкор Корвет-21";"Станок рейсмусовый Энкор Корвет-21";"Станок рейсмусовый Энкор Корвет-21";"
"
570;"Станок комбинированный строгальный Энкор Корвет-20м";552;596;5814;ДС0020;;;;;;;;k20m;"Станок комбинированный строгальный Энкор Корвет-20м";"Станок комбинированный строгальный Энкор Корвет-20м";"Станок комбинированный строгальный Энкор Корвет-20м";"
"
38908;"Рейсмус Metabo DH 330";1050;1104;5816;;yes;5;;;;;;;"Рейсмус Metabo DH 330 Купить рейсмус в Минске 130-53-10!";"Рейсмус Metabo DH 330 Купить рейсмус в Минске 130-53-10!";"Рейсмус Metabo DH 330 Купить рейсмус в Минске 130-53-10!";"
"
587;"Станок строгально-рейсмусовый Калибр ССР - 1600";360;405;5821;;;;;;;;;ssr1600;"Станок строгально-рейсмусовый Калибр ССР - 1600";"Станок строгально-рейсмусовый Калибр ССР - 1600";"Станок строгально-рейсмусовый Калибр ССР - 1600";"
"
603;"Станок токарный по дереву Энкор Корвет-76";700;770;5814;;;;;;;;;k76;"Станок токарный по дереву Энкор Корвет-76";"Станок токарный по дереву Энкор Корвет-76";"Станок токарный по дереву Энкор Корвет-76";"
"
604;"Станок токарный по дереву Энкор Корвет-75";900;990;5814;;;;;;;;;k75;"Станок токарный по дереву Энкор Корвет-75";"Станок токарный по дереву Энкор Корвет-75";"Станок токарный по дереву Энкор Корвет-75";"
"
605;"Станок токарный по дереву Энкор Корвет-74";592;650;5814;;;;;;;;;k74;"Станок токарный по дереву Энкор Корвет-74";"Станок токарный по дереву Энкор Корвет-74";"Станок токарный по дереву Энкор Корвет-74";"
"
606;"Станок токарный по дереву Энкор Корвет-71";357;390;5814;;;;;;;;;k71;"Станок токарный по дереву Энкор Корвет-71";"Станок токарный по дереву Энкор Корвет-71";"Станок токарный по дереву Энкор Корвет-71";"
"
607;"Станок токарный по дереву Энкор Корвет-70";245;280;5814;;;;;;;;;k70;"Станок токарный по дереву Энкор Корвет-70";"Станок токарный по дереву Энкор Корвет-70";"Станок токарный по дереву Энкор Корвет-70";"
"
611;"Станок токарный деревообрабатывающий Калибр СТД-350/1000";175;205;5821;;;;;;;;;std350;"Станок токарный деревообрабатывающий Калибр СТД-350";"Станок токарный деревообрабатывающий Калибр СТД-350";"Станок токарный деревообрабатывающий Калибр СТД-350";"
"
612;"Станок токарный деревообрабатывающий Калибр СТД-400";240;270;5821;;;;;;;;;std400;"Станок токарный деревообрабатывающий Калибр СТД-400";"Станок токарный деревообрабатывающий Калибр СТД-400";"Станок токарный деревообрабатывающий Калибр СТД-400";"
"
613;"Станок токарный деревообрабатывающий Калибр СТД-700";490;530;5821;;;;;;;;;std700;"Станок токарный деревообрабатывающий Калибр СТД-700";"Станок токарный деревообрабатывающий Калибр СТД-700";"Станок токарный деревообрабатывающий Калибр СТД-700";"
"
624;"Станок сверлильный по дереву Энкор Корвет-244";1010;1054;5814;D-s4450;;;;;;;;k244;"Станок сверлильный по дереву Энкор Корвет-244. Купить в Минске!";"Станок сверлильный по дереву Энкор Корвет-244";"Станок сверлильный по дереву Энкор Корвет-244";"
"
625;"Станок сверлильный по дереву Энкор Корвет-242";665;699;5814;D-s4449;;;;;;;;k242;"Станок сверлильный по дереву Энкор Корвет-242. Купить в Минске!";"Станок сверлильный по дереву Энкор Корвет-242 ";"Станок сверлильный по дереву Энкор Корвет-242 ";"
"
626;"Станок сверлильный по дереву Энкор Корвет-241";515;558;5814;D-s4448;;;;;;;;k241;"Станок сверлильный по дереву Энкор Корвет-241. Купить в Минске!";"Станок сверлильный по дереву Энкор Корвет-241 ";"Станок сверлильный по дереву Энкор Корвет-241 ";"
"
630;"Станок сверлильный Энкор Корвет-49";362;394;5814;D-s0073;;;;;;;;k49;"Станок сверлильный Энкор Корвет-49";"Станок сверлильный Энкор Корвет-49";"Станок сверлильный Энкор Корвет-49";"
"
631;"Станок сверлильный Энкор Корвет-48";427;460;5814;D-s0074;;;;;;;;k48;"Станок сверлильный Энкор Корвет-48. Купить в Минске!";"Станок сверлильный Энкор Корвет-48. Купить в Минске!";"Станок сверлильный Энкор Корвет-48. Купить в Минске!";"
"
632;"Станок сверлильный Энкор Корвет-44";504;544;5814;D-s0075;;;;;;;;k44;"Станок сверлильный Энкор Корвет-44. Купить в Минске!";"Станок сверлильный Энкор Корвет-44. Купить в Минске!";"Станок сверлильный Энкор Корвет-44. Купить в Минске!";"
"
633;"Станок сверлильный Энкор Корвет-43";392;428;5814;D-s0076;;;;;;;;k43;"Станок сверлильный Энкор Корвет-43";"Станок сверлильный Энкор Корвет-43";"Станок сверлильный Энкор Корвет-43";"
"
634;"Станок сверлильный Энкор Корвет-42";301;335;5814;D-s0077;;;;;;;;k42;"Станок сверлильный Энкор Корвет-42. Купить в Минске!";"Станок сверлильный Энкор Корвет-42. Купить в Минске!";"Станок сверлильный Энкор Корвет-42. Купить в Минске!";"
"
635;"Станок сверлильный Энкор Корвет-41";171;209;5814;D-s0078;;;;;;;;k41;"Станок сверлильный Энкор Корвет-41. Купить в Минске!";"Станок сверлильный Энкор Корвет-41. Купить в Минске!";"Станок сверлильный Энкор Корвет-41. Купить в Минске!";"
"
646;"Станок сверлильный электрический Калибр СС-16D/600";240;276;5821;D-s0088;;;;;;;;ss16d-600;"Станок сверлильный электрический Калибр СС-16D/600";"Станок сверлильный электрический Калибр СС-16D/600";"Станок сверлильный электрический Калибр СС-16D/600";"
"
647;"Станок сверлильный электрический Калибр СС-20Е/800";490;564;5821;D-s0089;;;;;;;;ss20e-800;"Станок сверлильный электрический Калибр СС-20Е/800";"Станок сверлильный электрический Калибр СС-20Е/800";"Станок сверлильный электрический Калибр СС-20Е/800";"
"
648;"Станок сверлильный электрический Калибр СС-16/480";230;260;5821;D-s0090;;;;;;;;ss16-480;"Станок сверлильный электрический Калибр СС-16/480";"Станок сверлильный электрический Калибр СС-16/480";"Станок сверлильный электрический Калибр СС-16/480";"
"
649;"Станок сверлильный электрический Калибр СС-13С/350";125;137;5821;D-s0091;;;;;;;;ss13s-350;"Станок сверлильный электрический Калибр СС-13С/350";"Станок сверлильный электрический Калибр СС-13С/350";"Станок сверлильный электрический Калибр СС-13С/350";"
"
650;"Станок сверлильный электрический Калибр СС-16/550";165;184;5821;D-s0093;;;;;;;;ss16-550;"Станок сверлильный электрический Калибр СС-16/550";"Станок сверлильный электрический Калибр СС-16/550";"Станок сверлильный электрический Калибр СС-16/550";"
"
677;"Ленточная пила DeWALT DW876";930;985;5811;СД0008;;;;;;;;DW876;"Ленточная пила DeWALT DW876";"Ленточная пила DeWALT DW876";"Ленточная пила DeWALT DW876";"
"
678;"Циркулярная пила DeWALT DW 745";1060;1173;5811;D-c0104;;5;;;;;;dw745;"Распиловочный настольный станок DeWalt DW745. Купить DeWalt dw745, makita 2704, bosch 029 130-53-10 в Минске!";"Распиловочный настольный станок DeWalt DW745. Купить DeWalt dw745, makita 2704, bosch 029 130-53-10 в Минске!";"Распиловочный настольный станок DeWalt DW745. Купить DeWalt dw745, makita 2704, bosch 029 130-53-10 в Минске!";"
"
684;"Станок распиловочный Энкор Корвет-11";283;315;5814;ДС0016;;;;;;;;k11;"Станок распиловочный Энкор Корвет-11";"Станок распиловочный Энкор Корвет-11";"Станок распиловочный Энкор Корвет-11";"
"
685;"Станок распиловочный Энкор Корвет-10";164;190;5814;ДС0015;;;;;;;;k10;"Станок распиловочный Энкор Корвет-10";"Станок распиловочный Энкор Корвет-10";"Станок распиловочный Энкор Корвет-10";"
"
732;"Станок фрезерный Энкор Корвет-86";2554;2620;5814;D-fr0151;;;;;;;;k86;"Станок фрезерный Энкор Корвет-86 ";"Станок фрезерный Энкор Корвет-86 ";"Станок фрезерный Энкор Корвет-86 ";"
"
733;"Станок фрезерный Энкор Корвет-85";1554;1610;5814;D-fr0152;;;;;;;;k85;"Станок фрезерный Энкор Корвет-85";"Станок фрезерный Энкор Корвет-85";"Станок фрезерный Энкор Корвет-85";"
"
734;"Станок фрезерный Энкор Корвет-84";1187;1240;5814;D-fr0153;;;;;;;;k84;"Станок фрезерный Энкор Корвет-84";"Станок фрезерный Энкор Корвет-84";"Станок фрезерный Энкор Корвет-84";"
"
735;"Станок фрезерный Энкор Корвет-83";739;785;5814;D-fr0154;;;;;;;;k83;"Станок фрезерный Энкор Корвет-83";"Станок фрезерный Энкор Корвет-83";"Станок фрезерный Энкор Корвет-83";"
"
736;"Стол фрезерный Энкор Корвет-81";767;805;5814;D-fr0155;;;;;;;;k81;"Стол фрезерный Энкор Корвет-81";"Стол фрезерный Энкор Корвет-81";"Стол фрезерный Энкор Корвет-81";"
"
737;"Стол фрезерный Энкор Корвет-80";155;170;5814;D-fr0156;;;;;;;;k80;"Стол фрезерный Энкор Корвет-80";"Стол фрезерный Энкор Корвет-80";"Стол фрезерный Энкор Корвет-80";"
"
746;"Станок долбежно-сверлильный Энкор Корвет-92";920;970;5814;ДС0027;;;;;;;;k92;"Станок долбежно-сверлильный Энкор Корвет-92 ";"Станок долбежно-сверлильный Энкор Корвет-92 ";"Станок долбежно-сверлильный Энкор Корвет-92 ";"
"
747;"Станок долбежно-сверлильный Энкор Корвет-91";490;550;5814;;;;;;;;;k91;"Станок долбежно-сверлильный Энкор Корвет-91";"Станок долбежно-сверлильный Энкор Корвет-91";"Станок долбежно-сверлильный Энкор Корвет-91";"
"
766;"Пылесос для сбора стружки Энкор Корвет-67";1277;1340;5814;;;;;;;;;k67;"Пылесос для сбора стружки Энкор Корвет-67";"Пылесос для сбора стружки Энкор Корвет-67";"Пылесос для сбора стружки Энкор Корвет-67";"
"
767;"Пылесос для сбора стружки Энкор Корвет-66";920;972;5814;;;;;;;;;k66;"Пылесос для сбора стружки Энкор Корвет-66";"Пылесос для сбора стружки Энкор Корвет-66";"Пылесос для сбора стружки Энкор Корвет-66";"
"
768;"Пылесос для сбора стружки Энкор Корвет-65";640;684;5814;;;;;;;;;k65;"Пылесос для сбора стружки Энкор Корвет-65";"Пылесос для сбора стружки Энкор Корвет-65";"Пылесос для сбора стружки Энкор Корвет-65";"
"
769;"Пылесос для сбора стружки Энкор Корвет-64";460;493;5814;;;;;;;;;k64;"Пылесос для сбора стружки Энкор Корвет-64";"Пылесос для сбора стружки Энкор Корвет-64";"Пылесос для сбора стружки Энкор Корвет-64";"
"
770;"Пылесос для сбора стружки Энкор Корвет-61";360;395;5814;;;;;;;;;k61;"Пылесос для сбора стружки Энкор Корвет-61";"Пылесос для сбора стружки Энкор Корвет-61";"Пылесос для сбора стружки Энкор Корвет-61";"
"
19264;"Пылесос для сбора стружки Энкор Корвет-60";175;193;5814;;;;;;;;;k60;"Пылесос для сбора стружки Энкор Корвет-60";"Пылесос для сбора стружки Энкор Корвет-60";"Пылесос для сбора стружки Энкор Корвет-60";"
"
38917;"Станок деревообрабатывающий БЕЛМАШ Мастер-Практик 2200 (старая модель)---Терминатор Т1000";150;47000;5821;;;2;;;;;;praktik2200000;"Станок деревообрабатывающий БЕЛМАШ Мастер-Практик 2200 Купить в Минске!.. прилетит сам!!!";"Станок деревообрабатывающий БЕЛМАШ Мастер-Практик 2200 Купить в Минске! Готовится востание машин!";"Станок деревообрабатывающий БЕЛМАШ Мастер-Практик 2200 Купить в Минске!";"
"
792;"Машина ленточная по металлу Энкор Корвет-424";1750;1915;5814;M-l0200;;2;;;;;;k4244;"Машина ленточная по металлу Энкор Корвет-424. Купить в Минске!";"Машина ленточная по металлу Энкор Корвет-424. Купить в Минске!";"Машина ленточная по металлу Энкор Корвет-424. Купить в Минске!";"
"
793;"Машина ленточная по металлу Энкор Корвет-422";465;499;5814;M-l0201;;;;;;;;k422;"Машина ленточная по металлу Энкор Корвет-422. Купить в Минске!";"Машина ленточная по металлу Энкор Корвет-422. Купить в Минске!";"Машина ленточная по металлу Энкор Корвет-422. Купить в Минске!";"
"
18609;"Ленточная пила Энкор Корвет-36";1650;1715;5814;ДС0014;;;;;;;;k36;"Ленточная пила Энкор Корвет-36";"Ленточная пила Энкор Корвет-36";"Ленточная пила Энкор Корвет-36";"
"
18607;"Ленточная пила Энкор Корвет-35";800;880;5814;СД0013;;;;;;;;k35;"Ленточная пила Энкор Корвет-35";"Ленточная пила Энкор Корвет-35";"Ленточная пила Энкор Корвет-35";"
"
18605;"Ленточная пила Энкор Корвет-34";702;757;5814;СД0012;;;;;;;;k34;"Ленточная пила Энкор Корвет-34";"Ленточная пила Энкор Корвет-34";"Ленточная пила Энкор Корвет-34";"
"
18601;"Ленточная пила Энкор Корвет-32";360;396;5814;СД0010;;;;;;;;k32;"Ленточная пила Энкор Корвет-32";"Ленточная пила Энкор Корвет-32";"Ленточная пила Энкор Корвет-32";"
"
822;"Машина отрезная дисковая по металлу Энкор Корвет-434";337;372;5814;M-o0228;;;;;;;;k434;"Машина отрезная дисковая по металлу Энкор Корвет-434. Купить в Минске!";"Машина отрезная дисковая по металлу Энкор Корвет-434. Купить в Минске!";"Машина отрезная дисковая по металлу Энкор Корвет-434. Купить в Минске!";"
"
823;"Машина отрезная дисковая по металлу Энкор Корвет-433";618;660;5814;M-o0229;;;;;;;;k433;"Машина отрезная дисковая по металлу Энкор Корвет-433. Купить в Минске!";"Машина отрезная дисковая по металлу Энкор Корвет-433. Купить в Минске!";"Машина отрезная дисковая по металлу Энкор Корвет-433. Купить в Минске!";"
"
824;"Машина отрезная дисковая по металлу Энкор Корвет-432";613;650;5814;M-o0230;;;;;;;;k432;"Машина отрезная дисковая по металлу Энкор Корвет-432. Купить в Минске!";"Машина отрезная дисковая по металлу Энкор Корвет-432. Купить в Минске!";"Машина отрезная дисковая по металлу Энкор Корвет-432. Купить в Минске!";"
"
825;"Машина отрезная дисковая по металлу Энкор Корвет-430";260;295;5814;M-o0231;;;;;;;;k430;"Машина отрезная дисковая по металлу Энкор Корвет-430. Купить в Минск!";"Машина отрезная дисковая по металлу Энкор Корвет-430. Купить в Минск!";"Машина отрезная дисковая по металлу Энкор Корвет-430. Купить в Минск!";"
"
826;"Пила отрезная по металлу Калибр ПО-2200";165;192;5821;M-o0232;;5;;;"Отрезной станок по металлу в Минске +375291305310";;;po-2200;"Пила отрезная по металлу Калибр ПО-2200 купить в Минске +1305310";"Отрезной станок по металлу Калибр ПО 2200 Купить отрезной станок по металлу в Минске +375291305310";"Отрезной станок по металлу Калибр ПО 2200 Купить отрезной станок по металлу в Минске +375291305310";"
"
827;"Пила отрезная по металлу Калибр ПО-2300/380А";550;590;5821;M-o0235;;5;;;"Отрезной станок по металлу Калибр ПО2200А 380В в Минске +375291305310";;;po-2300A-380B;"Пила отрезная по металлу Калибр ПО-2300/380А купить в Минске +375291305310";"Пила отрезная по металлу Калибр ПО-2300/380А Основание станка вылито из чугуна. Отрезной станок Калибр ПО 2200 приводится в движение двумя поликлиновыми ремнями Купить отрезной станок по металлу в Минске +375291305310, Беларусь индекс 220031 Тимирязева 123, корп.2, 5 этаж, пав. 555";"Пила отрезная по металлу Калибр ПО-2300/380А Основание станка вылито из чугуна. Отрезной станок Калибр ПО 2200 приводится в движение двумя поликлиновыми ремнями Купить отрезной станок по металлу в Минске +375291305310, Беларусь индекс 220031 Тимирязева 123, корп.2, 5 этаж, пав. 555";"
"
834;"Станок токарный по металлу Энкор Корвет-403";1690;1720;5814;M-t0239;;;;;;;;k403;"Станок токарный по металлу Энкор Корвет-403 Купить в Минске!";"Станок токарный по металлу Энкор Корвет-403 Купить в Минске!";"Станок токарный по металлу Энкор Корвет-403 Купить в Минске!";"750 Вт,  6 скоростей, 750 мм между центрами, автоматическая подача - 0,11-0,33 мм/об
"
835;"Станок токарный по металлу Энкор Корвет-402";1590;1680;5814;M-t0240;;;;;;;;k402;"Станок токарный по металлу Энкор Корвет-402 Купить в Минске!";"Станок токарный по металлу Энкор Корвет-402 Купить в Минске!";"Станок токарный по металлу Энкор Корвет-402 Купить в Минске!";"750 Вт,  6 скоростей, 500 мм между центрами, автоматическая подача - 0,12-0,33 мм/об
"
840;"Станок токарный по металлу комбинированный Калибр-СТМК 150";997;1123;5821;M-t0245;;5;;;;;;stmk150;"Станок токарный металлообрабатывающий комбинированный Калибр СТМК-150. Купить в Минске!";"Станок токарный металлообрабатывающий комбинированный Калибр СТМК-150. Купить в Минске!";"Станок токарный металлообрабатывающий комбинированный Калибр СТМК-150. Купить в Минске!";"супер-цена!!!! скидка 130$
"
856;"Машина заточная Энкор Корвет Эксперт 499";123;135;5814;M-z0260;;;;;;;;k499;"Машина заточная Энкор Корвет Эксперт 499 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 499 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 499 Купить в Минске!";"250 Вт, сухая заточка круг - 150х20 мм, мокрая заточка круг - 200х40 мм
"
858;"Машина заточная Энкор Корвет Эксперт 496";145;160;5814;M-z0262;;;;;;;;k496;"Машина заточная Энкор Корвет Эксперт 496 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 496 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 496 Купить в Минске!";"370 Вт, шлифовальны круг - 200х25 мм
"
860;"Машина заточная Энкор Корвет Эксперт 492";94;;5814;M-z0264;;;;;;;;k492;"Машина заточная Энкор Корвет Эксперт 492 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 492 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 492 Купить в Минске!";"250 Вт, шлифовальны круг - 150х20 мм
"
861;"Машина заточная Энкор Корвет Эксперт 485";195;215;5814;M-z0265;;;;;;;;k485;"Машина заточная Энкор Корвет Эксперт 485 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 485 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 485 Купить в Минске!";"750 Вт, шлифовальны круг - 250х25 мм
"
862;"Машина заточная Энкор Корвет Эксперт 484";112;123;5814;M-z0266;;;;;;;;k484;"Машина заточная Энкор Корвет Эксперт 484 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 484 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 484 Купить в Минске!";"370 Вт, шлифовальны круг - 200х20 мм
"
863;"Машина заточная Энкор Корвет Эксперт 482";75;83;5814;M-z0267;;;;;;;;k482;"Машина заточная Энкор Корвет Эксперт 482 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 482 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 482 Купить в Минске!";"250 Вт, шлифовальны круг - 150х20 мм
"
864;"Машина заточная Энкор Корвет Эксперт 481";68;75;5814;M-z0268;;;;;;;;k481;"Машина заточная Энкор Корвет Эксперт 481 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 481 Купить в Минске!";"Машина заточная Энкор Корвет Эксперт 481 Купить в Минске!";"180 Вт, шлифовальны круг - 125х16 мм
"
39000;"Сварочная маска Интерскол МС 350 с автозатемнением";60;64;5826;;;;;;;;;ms350;"Сварочная маска Интерскол МС 350 с автозатемнением";"Сварочная маска Интерскол МС 350 с автозатемнением";"Сварочная маска Интерскол МС 350 с автозатемнением";"
"
38999;"Сварочная маска Интерскол МС 400 с автозатемнением";65;69;5826;;;;;;;;;ms400;"Сварочная маска Интерскол МС 400 с автозатемнением";"Сварочная маска Интерскол МС 400 с автозатемнением";"Сварочная маска Интерскол МС 400 с автозатемнением";"
"
38996;"Перфоратор Bosch PBH 2900 RE";171;185;5830;;;;;;;;;pbh2900re;"Перфоратор Bosch PBH 2900 RE";"Перфоратор Bosch PBH 2900 RE";"Перфоратор Bosch PBH 2900 RE";"
"
38997;"Перфоратор Skil 1758 LA";149;168;38927;;;;;;;;;1758la;"Перфоратор Skil 1758 LA";"Перфоратор Skil 1758 LA";"Перфоратор Skil 1758 LA";"
"
38998;"Машина полировальная угловая Ставр МПУ-180/1300";86;100;28553;;;;;;;;;mpu180-1300;"Машина полировальная угловая Ставр МПУ-180/1300";"Машина полировальная угловая Ставр МПУ-180/1300";"Машина полировальная угловая Ставр МПУ-180/1300";"
"
38994;"Молоток отбойный электрический Ставр МОЭ-2000";360;420;28553;;;;;;;;;moe2000;"Молоток отбойный электрический Ставр МОЭ-2000";"Молоток отбойный электрический Ставр МОЭ-2000";"Молоток отбойный электрический Ставр МОЭ-2000";"
"
38995;"Перфоратор Bosch PBH 3000-2 FRE";230;;5830;;;;;;;;;;"Перфоратор Bosch PBH 3000-2 FRE";"Перфоратор Bosch PBH 3000-2 FRE";"Перфоратор Bosch PBH 3000-2 FRE";"
"
38993;"Молоток отбойный электрический Ставр МОЭ-1100";210;240;28553;;;;;;;;;moe1100;"Молоток отбойный электрический Ставр МОЭ-1100";"Молоток отбойный электрический Ставр МОЭ-1100";"Молоток отбойный электрический Ставр МОЭ-1100";"
"
38992;"Электрическая пила дисковая универсальная Калибр Мастер ЭПДУ-750/135М+";85;100;5821;;;;;;;;;epdu750-135m+;"Электрическая пила дисковая универсальная Калибр Мастер ЭПДУ-750/135М+";"Электрическая пила дисковая универсальная Калибр Мастер ЭПДУ-750/135М+";"Электрическая пила дисковая универсальная Калибр Мастер ЭПДУ-750/135М+";"
"
